PARK ID,PARK NAME,CLASSIFICATION,FULL ADDRESS,CITY,ZIP,RECREATION CENTER,FITNESS CENTER,STADIUM,ADULT LEISURE PROGRAM,PLAYGOUND,RESTROOM,SWIMMING POOL,SPRAY PAD,AQUATIC CENTER,INDOOR BASKETBALL,OUTDOOR BASKETBALL,BASEBALL UNLIGHTED,BASEBALL LIGHTED,SOCCER FIELD,RUGBY FIELD,INDOOR TENNIS COURT,TENNIS UNLIGHTED,TENNIS LIGHTED,GOLF COURSE 9 HOLE,GOLF COURSE 18 HOLE,DISC GOLF,BOCCE BALL,CROQUET,FISHING LAKE,DOG PARK,SKATE PARK,CYCLING VELODROME,BMX TRACK,MOUNTAIN BIKE TRAIL,WALKING PATH SURFACED,WALKING LOOP,EQUESTRIAN,ARCHERY  RANGE,AIRGUN RANGE,GEOLOCATION
10,Baker Playground,Neighborhood,3439 GROOM RD,BAKER,70714,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3439 GROOM RD
BAKER 70714
(30.587915, -91.164094)"
100,Lanier Drive Park,Neighborhood,3901 LANIER DR,BATON ROUGE,70812,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,"3901 LANIER DR
BATON ROUGE 70812"
168,Terrace Street Park,Neighborhood,701 TERRACE ST,BATON ROUGE,70802,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"701 TERRACE ST
BATON ROUGE 70802
(30.436234, -91.183111)"
112,Magnolia Mound Plantation,Neighborhood,2161 NICHOLSON DR,BATON ROUGE,70802,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2161 NICHOLSON DR
BATON ROUGE 70802
(30.426591, -91.187958)"
117,Mayfair Park,Neighborhood,650 S SABINE DR,BATON ROUGE,70810,1,,,,1,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,"650 S SABINE DR
BATON ROUGE 70810
(30.375838, -91.107876)"
154,Santa Maria Golf Course,Golf Course,18460 SANTA MARIA PKWY,BATON ROUGE,70809,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"18460 SANTA MARIA PKWY
BATON ROUGE 70809
(30.341042, -91.009044)"
165,Sugarland Park,Neighborhood,4700 SUGAR LAND DR,BATON ROUGE,70814,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"4700 SUGAR LAND DR
BATON ROUGE 70814
(30.491639, -91.040299)"
62,Flannery Road Park,Neighborhood,801 S FLANNERY RD,BATON ROUGE,70815,1,,,,1,1,,,,1,,,2,1,,,2,,,,,,,,,,,,,,,,,,"801 S FLANNERY RD
BATON ROUGE 70815
(30.450393, -91.034668)"
59,Expressway Park,Neighborhood,935 S 11TH ST,BATON ROUGE,70802,1,,,,1,1,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,"935 S 11TH ST
BATON ROUGE 70802
(30.438845, -91.177737)"
113,Manchac Park,Neighborhood,19010 JEFFERSON HWY,BATON ROUGE,70817,,,,,1,,,,,,1,,2,,,,1,,,,,,,,,,,,,,,,,,"19010 JEFFERSON HWY
BATON ROUGE 70817
(30.347347, -90.98576)"
71,Goodwood Park,Neighborhood,6025 SEVENOAKS AVE,BATON ROUGE,70806,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"6025 SEVENOAKS AVE
BATON ROUGE 70806
(30.442857, -91.129228)"
56,Edward Avenue Park,Neighborhood,3000 EDWARD AVE,BATON ROUGE,70808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3000 EDWARD AVE
BATON ROUGE 70808
(30.429511, -91.157503)"
130,North Sherwood Forest Community Park,Community,3140 N SHERWOOD FOREST DR,BATON ROUGE,70814,1,1,,1,1,1,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,"3140 N SHERWOOD FOREST DR
BATON ROUGE 70814
(30.478322, -91.058278)"
51,Drusilla Lane Park,Neighborhood,2546 DRUSILLA LN,BATON ROUGE,70809,1,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,"2546 DRUSILLA LN
BATON ROUGE 70809
(30.427214, -91.084201)"
107,Longridge Park,Neighborhood,12127 LONGRIDGE AVE,BATON ROUGE,70816,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,"12127 LONGRIDGE AVE
BATON ROUGE 70816
(30.421752, -91.046857)"
